"Index","Var_name","Var_type","Estimate","Hit_Type","L_bound","U_bound","Distance_to_bound","Gradient"
2,"diff_coffs(1,2)","diff_coffs",4.6149951e-10,"Lower",0,4,4.6149951e-10,8.1243038e-09
3,"diff_coffs(1,3)","diff_coffs",1.2106769e-09,"Lower",0,4,1.2106769e-09,4.5111714e-09
4,"diff_coffs(1,4)","diff_coffs",7.9298923e-10,"Lower",0,4,7.9298923e-10,8.5316312e-08
11,"diff_coffs(1,11)","diff_coffs",4.2004351e-09,"Lower",0,4,4.2004351e-09,-1.6041279e-08
13,"diff_coffs(1,13)","diff_coffs",5.7787863e-10,"Lower",0,4,5.7787863e-10,-5.6043284e-08
14,"diff_coffs(1,14)","diff_coffs",1.1154884e-07,"Lower",0,4,1.1154884e-07,5.4052687e-08
15,"diff_coffs(1,15)","diff_coffs",4.0901238e-09,"Lower",0,4,4.0901238e-09,-2.3873194e-08
17,"diff_coffs(1,17)","diff_coffs",1.0469003e-10,"Lower",0,4,1.0469003e-10,6.2354819e-06
20,"diff_coffs(1,20)","diff_coffs",5.0702686e-10,"Lower",0,4,5.0702686e-10,-2.0389971e-06
21,"diff_coffs(1,21)","diff_coffs",1.8759225e-09,"Lower",0,4,1.8759225e-09,4.7503696e-07
24,"diff_coffs(1,24)","diff_coffs",9.6236086e-10,"Lower",0,4,9.6236086e-10,-9.9276457e-07
28,"diff_coffs(2,2)","diff_coffs",1.3437658e-09,"Lower",0,4,1.3437658e-09,2.1513634e-07
30,"diff_coffs(2,4)","diff_coffs",8.6383434e-10,"Lower",0,4,8.6383434e-10,6.3872526e-07
32,"diff_coffs(2,6)","diff_coffs",8.3017992e-10,"Lower",0,4,8.3017992e-10,5.0866404e-07
34,"diff_coffs(2,8)","diff_coffs",1.7868662e-10,"Lower",0,4,1.7868662e-10,-5.8346768e-08
37,"diff_coffs(2,11)","diff_coffs",2.6064861e-09,"Lower",0,4,2.6064861e-09,-4.6350699e-08
38,"diff_coffs(2,12)","diff_coffs",7.8427465e-10,"Lower",0,4,7.8427465e-10,5.1185073e-09
39,"diff_coffs(2,13)","diff_coffs",1.6819897e-09,"Lower",0,4,1.6819897e-09,1.1802351e-07
40,"diff_coffs(2,14)","diff_coffs",5.7810901e-08,"Lower",0,4,5.7810901e-08,4.5923172e-09
41,"diff_coffs(2,15)","diff_coffs",3.6056078e-09,"Lower",0,4,3.6056078e-09,8.7980726e-08
42,"diff_coffs(2,16)","diff_coffs",3.8747725e-09,"Lower",0,4,3.8747725e-09,2.897926e-08
43,"diff_coffs(2,17)","diff_coffs",7.4129147e-11,"Lower",0,4,7.4129147e-11,3.3516592e-06
44,"diff_coffs(2,18)","diff_coffs",1.517425e-08,"Lower",0,4,1.517425e-08,-1.8880518e-07
46,"diff_coffs(2,20)","diff_coffs",4.9811821e-10,"Lower",0,4,4.9811821e-10,2.7578697e-08
48,"diff_coffs(2,22)","diff_coffs",2.6263325e-10,"Lower",0,4,2.6263325e-10,9.123364e-10
50,"diff_coffs(2,24)","diff_coffs",6.4856609e-10,"Lower",0,4,6.4856609e-10,1.4551743e-07
51,"diff_coffs(2,25)","diff_coffs",1.7012383e-08,"Lower",0,4,1.7012383e-08,-1.1367655e-07
52,"diff_coffs(2,26)","diff_coffs",2.7802061e-09,"Lower",0,4,2.7802061e-09,3.8460568e-07
54,"diff_coffs(3,2)","diff_coffs",6.4938122e-10,"Lower",0,4,6.4938122e-10,1.1616997e-08
55,"diff_coffs(3,3)","diff_coffs",3.8514549e-09,"Lower",0,4,3.8514549e-09,5.3207434e-09
57,"diff_coffs(3,5)","diff_coffs",1.4854398e-09,"Lower",0,4,1.4854398e-09,-2.2369308e-08
58,"diff_coffs(3,6)","diff_coffs",1.1227907e-09,"Lower",0,4,1.1227907e-09,1.1399524e-08
59,"diff_coffs(3,7)","diff_coffs",2.1139219e-08,"Lower",0,4,2.1139219e-08,-3.3862992e-07
60,"diff_coffs(3,8)","diff_coffs",1.6564794e-10,"Lower",0,4,1.6564794e-10,2.1362558e-08
63,"diff_coffs(3,11)","diff_coffs",1.3935273e-09,"Lower",0,4,1.3935273e-09,8.3937132e-07
65,"diff_coffs(3,13)","diff_coffs",2.1992923e-09,"Lower",0,4,2.1992923e-09,6.7002942e-09
66,"diff_coffs(3,14)","diff_coffs",3.2309806e-09,"Lower",0,4,3.2309806e-09,5.6061669e-08
67,"diff_coffs(3,15)","diff_coffs",1.3684156e-06,"Lower",0,4,1.3684156e-06,-1.1893515e-07
69,"diff_coffs(3,17)","diff_coffs",6.3740568e-11,"Lower",0,4,6.3740568e-11,8.1916834e-06
70,"diff_coffs(3,18)","diff_coffs",9.7218713e-09,"Lower",0,4,9.7218713e-09,5.1696844e-07
71,"diff_coffs(3,19)","diff_coffs",1.5798112e-09,"Lower",0,4,1.5798112e-09,3.4029889e-07
72,"diff_coffs(3,20)","diff_coffs",4.8028403e-10,"Lower",0,4,4.8028403e-10,-4.5816713e-09
74,"diff_coffs(3,22)","diff_coffs",3.1990055e-10,"Lower",0,4,3.1990055e-10,9.2638365e-08
76,"diff_coffs(3,24)","diff_coffs",6.1764527e-10,"Lower",0,4,6.1764527e-10,-1.493935e-06
78,"diff_coffs(3,26)","diff_coffs",7.7808475e-09,"Lower",0,4,7.7808475e-09,7.8298466e-09
79,"diff_coffs(4,1)","diff_coffs",2.5017262e-09,"Lower",0,4,2.5017262e-09,-3.2858008e-08
80,"diff_coffs(4,2)","diff_coffs",4.5793125e-10,"Lower",0,4,4.5793125e-10,3.7901352e-08
81,"diff_coffs(4,3)","diff_coffs",1.2082026e-09,"Lower",0,4,1.2082026e-09,7.3915782e-09
83,"diff_coffs(4,5)","diff_coffs",7.9958529e-10,"Lower",0,4,7.9958529e-10,-2.2637605e-09
84,"diff_coffs(4,6)","diff_coffs",1.7520816e-09,"Lower",0,4,1.7520816e-09,-4.3745603e-09
