"Year","Qtr","Region","Index","YrQtr","CV"
1965,2,5,6591520.07815,1965.25,0.445799161936856
1965,3,1,12807691.1814187,1965.5,0.470784919811982
1965,3,2,4595425.44445,1965.5,0.382323219983938
1965,3,3,9129459.44216,1965.5,0.254824359312254
1965,3,4,6147978.291,1965.5,0.217308914696111
1965,3,5,5889754.6073601,1965.5,0.379582493746902
1965,4,1,22131348.3738225,1965.75,0.397526584547246
1965,4,2,4418153.82239,1965.75,0.357889833938975
1965,4,3,7686875.15098,1965.75,0.288246639028639
1965,4,4,6377739.9445,1965.75,0.261613509624577
1965,4,5,5752050.56758,1965.75,0.352108615120281
1966,1,1,25589016.272882,1966,0.406871294802436
1966,1,2,4790843.1616,1966,0.372235788714606
1966,1,3,6900284.1624,1966,0.253843043609532
1966,1,4,6864380.6057,1966,0.229439529368044
1966,1,5,4693608.42807,1966,0.415481586578171
1966,2,1,12668988.8276517,1966.25,0.525686860684693
1966,2,2,5119699.54611,1966.25,0.428442338864182
1966,2,3,6105656.49021,1966.25,0.242166333810844
1966,2,4,7143064.1561,1966.25,0.252909393960705
1966,2,5,6904041.38876,1966.25,0.368083313652533
1966,3,1,19114054.7349555,1966.5,0.456634968781134
1966,3,2,5294964.96527,1966.5,0.349114902207969
1966,3,3,5760429.68937,1966.5,0.268482018768103
1966,3,4,5842766.9691,1966.5,0.243763672612483
1966,3,5,6389965.6421963,1966.5,0.381833836266378
1966,4,1,21998090.8997726,1966.75,0.390501838832776
1966,4,2,4435062.55225,1966.75,0.326966135648081
1966,4,3,6645966.35713,1966.75,0.259112134368347
1966,4,4,5143848.0249,1966.75,0.231615386716796
1966,4,5,6103099.759917,1966.75,0.337490904149755
1967,1,1,22169797.332336,1967,0.399446676148622
1967,1,2,4679388.00034,1967,0.418399102532687
1967,1,3,6407368.88192,1967,0.232104612191702
1967,1,4,7962254.4226,1967,0.224495296869342
1967,1,5,6371100.81436,1967,0.395339866580939
1967,2,1,14457007.049584,1967.25,0.472049393099103
1967,2,2,3869975.73969,1967.25,0.420919130812705
1967,2,3,6422982.33752,1967.25,0.252695755263644
1967,2,4,6545460.7125,1967.25,0.227622532158344
1967,2,5,7104826.68256,1967.25,0.345048665173834
1967,3,1,13855356.5288857,1967.5,0.415653099025578
1967,3,2,4775339.05175,1967.5,0.422803884542473
1967,3,3,6545850.80888,1967.5,0.27920657798738
1967,3,4,5682598.4814,1967.5,0.222289886204492
1967,3,5,6484933.01975,1967.5,0.335610049756285
1967,4,1,17583440.987309,1967.75,0.405087751523473
1967,4,2,4461659.51697,1967.75,0.409698962011123
1967,4,3,7000286.73135,1967.75,0.254114354894119
1967,4,4,4186028.3742,1967.75,0.239174815459005
1967,4,5,7285081.67814,1967.75,0.439362598604405
1968,1,1,16051423.4992678,1968,0.442887435377312
1968,1,2,4603923.661981,1968,0.401672049547444
1968,1,3,6765603.79761,1968,0.23849577943107
1968,1,4,5571591.6047,1968,0.229538650780757
1968,1,5,5823440.02266,1968,0.453566377761698
1968,2,1,10332134.4895624,1968.25,0.609582536665409
1968,2,2,3784020.5215,1968.25,0.406112091008247
1968,2,3,7216653.76021,1968.25,0.258165605376554
1968,2,4,6038713.0282,1968.25,0.227161078482005
1968,2,5,6938325.80571,1968.25,0.345686995794304
1968,3,1,10312690.1399291,1968.5,0.507991356598476
1968,3,2,5951699.25844,1968.5,0.41269182833029
1968,3,3,5869769.71498,1968.5,0.251161513072019
1968,3,4,5256949.3513,1968.5,0.256649003905283
1968,3,5,6693266.7268,1968.5,0.386867965834465
1968,4,1,18845794.1164585,1968.75,0.412590113165891
1968,4,2,4806620.50713,1968.75,0.4115605071757
1968,4,3,6562906.25481,1968.75,0.236782522821543
1968,4,4,5056935.3596,1968.75,0.247565538616359
1968,4,5,5760900.804292,1968.75,0.420202990298416
1969,1,1,22638100.5326651,1969,0.430699948860466
1969,1,2,3848351.69624,1969,0.398729083944232
1969,1,3,8799493.41667,1969,0.246612635870099
1969,1,4,6537985.9655,1969,0.221436641115991
1969,1,5,6610167.71772,1969,0.39527960129506
1969,2,1,11452039.1580723,1969.25,0.533706882660642
1969,2,2,5116426.62023,1969.25,0.417858353978921
1969,2,3,7465222.29987,1969.25,0.284203525722523
1969,2,4,7263920.2229,1969.25,0.235360123767135
1969,2,5,5824731.4938,1969.25,0.417337047263016
1969,3,1,14186919.0393736,1969.5,0.472501127101564
1969,3,2,5638870.94129,1969.5,0.480180071426968
1969,3,3,7558977.75133,1969.5,0.262659871757541
1969,3,4,7281962.6529,1969.5,0.206746391269226
1969,3,5,7473112.49154,1969.5,0.39596133869145
1969,4,1,16835095.9379086,1969.75,0.420816007437895
1969,4,2,4203716.59645,1969.75,0.448134221508027
1969,4,3,5700872.04409,1969.75,0.307408661734762
1969,4,4,7512148.4263,1969.75,0.227142396292154
1969,4,5,7424709.008105,1969.75,0.385185870031479
1970,1,1,17853284.1153151,1970,0.404399557482952
1970,1,2,3752635.89081,1970,0.414898257535781
1970,1,3,5268280.0228,1970,0.322260321505834
1970,1,4,5323728.2226,1970,0.217080138209897
1970,1,5,6376163.1689,1970,0.406377996628495
1970,2,1,8857986.67706388,1970.25,0.590736764826
1970,2,2,3045191.55076,1970.25,0.479874002707398
1970,2,3,6000325.43679,1970.25,0.316319174949732
1970,2,4,4928708.96,1970.25,0.198087123834626
1970,2,5,5967854.35422,1970.25,0.391863333076666
1970,3,1,9039093.9716785,1970.5,0.48787902126756
1970,3,2,3577024.13241,1970.5,0.458741792087088
1970,3,3,4544411.43921,1970.5,0.263555424641892
1970,3,4,5018021.7929,1970.5,0.195291228577858
1970,3,5,5619143.44213,1970.5,0.388362161260448
1970,4,1,15373880.130136,1970.75,0.398804843232214
1970,4,2,3214836.09088,1970.75,0.476547396464497
1970,4,3,4582691.7821,1970.75,0.280379948356928
1970,4,4,4176745.7777,1970.75,0.220027827968159
1970,4,5,6464878.777134,1970.75,0.357595554026872
1971,1,1,13664471.6351761,1971,0.464135395379256
1971,1,2,3851232.17938,1971,0.443392103101851
1971,1,3,5408709.86864,1971,0.252494506722365
1971,1,4,9005917.5425,1971,0.199628280233397
1971,1,5,5995683.746845,1971,0.351978279448248
1971,2,1,9508188.0907167,1971.25,0.584656280921088
1971,2,2,4612665.95595,1971.25,0.469599087660404
1971,2,3,6481373.53361,1971.25,0.250521204384605
1971,2,4,4848976.229,1971.25,0.208291920067832
1971,2,5,5220004.639969,1971.25,0.401832376271318
1971,3,1,10825505.847291,1971.5,0.508284588814571
1971,3,2,4055464.378,1971.5,0.478807234774232
1971,3,3,5677903.87151,1971.5,0.24626339973106
1971,3,4,5252167.5998,1971.5,0.193443985068736
1971,3,5,5795442.256803,1971.5,0.379488169050386
1971,4,1,20121825.8768386,1971.75,0.429132665234414
1971,4,2,4430646.70373,1971.75,0.456820888719088
1971,4,3,5964472.55793,1971.75,0.239624517599332
1971,4,4,4094886.3339,1971.75,0.245802019009682
1971,4,5,5955207.279449,1971.75,0.352772109210256
1972,1,1,15026465.23498,1972,0.457839425298302
1972,1,2,4665604.87188,1972,0.491425390167854
1972,1,3,7589705.5479,1972,0.253072508721249
1972,1,4,5362056.6623,1972,0.172324680244006
1972,1,5,5384831.38856,1972,0.3583680538251
1972,2,1,10144886.4644927,1972.25,0.58481913117997
1972,2,2,4135351.08031,1972.25,0.490395375691098
1972,2,3,7871108.23091,1972.25,0.242206985763446
1972,2,4,6444803.2043,1972.25,0.186508833936267
1972,2,5,5355009.23912,1972.25,0.423114718753243
1972,3,1,14275994.120091,1972.5,0.53442932020375
1972,3,2,5106084.67548,1972.5,0.46675946143771
1972,3,3,8064801.6085,1972.5,0.248028439569722
1972,3,4,5274186.1238,1972.5,0.19943873922764
1972,3,5,5751437.3696,1972.5,0.36952838907977
1972,4,1,18300960.5911226,1972.75,0.456613219902344
1972,4,2,5836777.13367,1972.75,0.475026435719198
1972,4,3,8238736.72433,1972.75,0.232495086059283
1972,4,4,4242095.9182,1972.75,0.192359439688002
1972,4,5,5244978.128333,1972.75,0.405866569373869
1973,1,1,17018014.124974,1973,0.445433176461783
1973,1,2,5976700.32418,1973,0.438862398226926
1973,1,3,7329249.01944,1973,0.232246298547318
1973,1,4,5572936.935,1973,0.179161768901432
1973,1,5,5753941.42738,1973,0.361979889590261
1973,2,1,11721840.7985395,1973.25,0.576458581925474
1973,2,2,4425314.84769,1973.25,0.439750295206996
1973,2,3,6136904.74193,1973.25,0.23892549659394
1973,2,4,5868772.8564,1973.25,0.230025938768306
1973,2,5,4515968.09464,1973.25,0.375852107916536
1973,3,1,8266618.94648573,1973.5,0.548576206367236
1973,3,2,5151039.4428,1973.5,0.487523668649433
1973,3,3,4927202.17177,1973.5,0.237416618059033
1973,3,4,5053497.0477,1973.5,0.192701594871359
1973,3,5,5883545.527217,1973.5,0.339066347944742
1973,4,1,12262261.0832214,1973.75,0.452593274568521
1973,4,2,4939329.58768,1973.75,0.441120750048352
1973,4,3,5054208.01148,1973.75,0.258383086716488
1973,4,4,4430469.0054,1973.75,0.196225025395492
1973,4,5,5264476.29102,1973.75,0.354107309795164
1974,1,1,12444705.054431,1974,0.433947765465869
1974,1,2,4364585.77386,1974,0.400550455007974
1974,1,3,4651067.17198,1974,0.228423020143674
1974,1,4,3829659.59132,1974,0.193937738792034
1974,1,5,3728991.423481,1974,0.326858836263392
1974,2,1,9249336.78838455,1974.25,0.555559849746856
1974,2,2,3245438.16951,1974.25,0.421797188232589
1974,2,3,6660642.43091,1974.25,0.253516495724368
1974,2,4,5034928.6393,1974.25,0.199289123025503
1974,2,5,4268202.78409,1974.25,0.333086837650742
1974,3,1,9526400.9768179,1974.5,0.477044255366372
1974,3,2,4536268.08105,1974.5,0.455515909529157
1974,3,3,6835830.2502,1974.5,0.230311582605949
1974,3,4,5018172.868,1974.5,0.190862917030532
1974,3,5,4574401.7160625,1974.5,0.353716529082575
1974,4,1,14070743.2039897,1974.75,0.436958583638832
1974,4,2,4811791.41762,1974.75,0.412331533277663
1974,4,3,6504941.73772,1974.75,0.209255830211496
1974,4,4,4307050.5878,1974.75,0.199444286273342
1974,4,5,5386003.502114,1974.75,0.317273827478409
1975,1,1,13263014.2244615,1975,0.436845832007221
1975,1,2,4428805.73652686,1975,0.474971700166715
1975,1,3,6480084.99333,1975,0.288748991861455
1975,1,4,5121824.8904,1975,0.179019642057342
1975,1,5,4028044.26954,1975,0.357207953251632
1975,2,1,10051322.4426934,1975.25,0.61158479449567
1975,2,2,5928113.62952,1975.25,0.399218004189353
1975,2,3,7411611.06645,1975.25,0.275008468461831
1975,2,4,8707561.9636,1975.25,0.211955640548492
1975,2,5,4730626.519631,1975.25,0.403916963758735
1975,3,1,10292488.3168514,1975.5,0.570612987183741
1975,3,2,4678676.88064,1975.5,0.424499094133687
1975,3,3,7117256.09644,1975.5,0.263988538096873
1975,3,4,5935264.6217,1975.5,0.198591092759648
1975,3,5,6871940.62404,1975.5,0.380047279668769
1975,4,1,15879311.3608197,1975.75,0.429740683912523
1975,4,2,5384139.38804,1975.75,0.40019716707621
1975,4,3,7715091.93602,1975.75,0.235591849658866
1975,4,4,4880977.5641,1975.75,0.203293698790346
1975,4,5,7644589.261725,1975.75,0.429101703738759
1976,1,1,14244603.9893057,1976,0.434348829723832
1976,1,2,4733126.22427,1976,0.40540510827848
1976,1,3,6355322.47677,1976,0.239522677567067
1976,1,4,6012904.9849,1976,0.223009683388079
1976,1,5,6511984.40564,1976,0.355044051992472
1976,2,1,13153365.0954571,1976.25,0.51097610008741
1976,2,2,4526946.46903,1976.25,0.421791695105233
1976,2,3,8054323.95776,1976.25,0.263209032323477
1976,2,4,6673116.4109,1976.25,0.205382305370012
1976,2,5,7084289.48908,1976.25,0.382230054203502
1976,3,1,11569776.0519852,1976.5,0.498657386672134
1976,3,2,5120489.47379,1976.5,0.41119231469746
1976,3,3,7094839.58387,1976.5,0.25825188305577
1976,3,4,4068561.3089,1976.5,0.192513840644253
1976,3,5,6783519.95108,1976.5,0.36235392990798
1976,4,1,16440177.6237442,1976.75,0.39899412761016
1976,4,2,5218749.74412,1976.75,0.409504369885306
1976,4,3,7396447.60963,1976.75,0.241595102260066
1976,4,4,3953582.885,1976.75,0.187376338193666
1976,4,5,5727202.31636,1976.75,0.409633615666934
1977,1,1,16243402.861622,1977,0.389958870800978
1977,1,2,5373281.71052,1977,0.419441529592738
